,Average Number of Affiliations
amyklobuchar,5.341597796143251
andrewyang,4.983240223463687
berniesanders,3.7041284403669725
ewarren,4.424870466321243
govbillweld,4.439522998296423
joebiden,3.593094944512947
joinrocky,1.4262295081967213
kamalaharris,4.103355704697987
mikebloomberg,4.62280701754386
realdonaldtrump,4.121306376360809
senatorbennet,4.640625
tomsteyer,4.8
tulsigabbard,5.483018867924528
walshfreedom,4.365168539325842
